"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140747","GO:0140747","regulation of ncRNA transcription","27/1813","92/18870",7.92818350533495e-08,0.000416981926551398,0.000393390006419343,"BMP2/BMPR1A/CC2D1A/DDX11/EGR1/FOXA1/FOXO3/GATA2/KLF4/LARP7/MEPCE/MRTFB/MYB/MYCN/NFATC3/NR1H2/POU2F1/PPARG/PWP1/SIRT7/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/YY1",27
"GO:1902895","GO:1902895","positive regulation of miRNA transcription","19/1813","52/18870",1.4541653933789e-07,0.000416981926551398,0.000393390006419343,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NR1H2/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1",19
"GO:0006302","GO:0006302","double-strand break repair","58/1813","307/18870",3.9415079020309e-07,0.000753484927271574,0.000710854407594345,"ACTB/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/CDC7/CHD4/DDX11/DPF2/EPC2/ERCC4/FAN1/FUS/GEN1/HMGA2/HSF1/INTS3/KASH5/KDM2A/LIG3/MCM2/MCM4/MCMDC2/MLH1/MORF4L1/MRGBP/NABP2/NSMCE2/NSMCE4A/OGG1/PARP2/PARP3/PIAS4/PML/PPP4R2/PPP5C/PRDM9/RAD51AP1/RBBP8/RMI1/RPA1/RTEL1/SENP3/SETMAR/SFR1/SHLD2/SMARCA4/SMC5/SMCHD1/SPIRE2/SPO11/TDP1/TENT4A/UHRF1/YEATS4/YY1",58
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","78/1813","470/18870",1.11340637560498e-06,0.00128027209023031,0.00120783711169344,"ACTB/ACVR1B/ANAPC11/ANLN/APC/ARID1B/ATM/BABAM2/BCL7A/BRSK1/BUB3/CALM3/CASP2/CCNB1/CCND1/CCNF/CDC14A/CDC25B/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDKN2C/CENPF/CHMP7/CKS1B/CKS2/CPSF3/DACT1/DNM2/DPF2/DTL/EIF4EBP1/FBXL15/FZR1/GEN1/HASPIN/ID2/INTS3/KDM8/KHDRBS1/KLF4/KNL1/MEPCE/NABP2/NEK6/NSMCE2/PABIR1/PIAS1/PKD1/PKD2/PLK3/PML/PPM1D/PPME1/PPP2R2D/RBBP8/RBL2/RCC1/SIRT7/SMARCA4/SMC5/SPAST/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/WAC/ZFYVE19",78
"GO:0007051","GO:0007051","spindle organization","42/1813","202/18870",1.20654067459458e-06,0.00128027209023031,0.00120783711169344,"ARHGEF10/BCCIP/CCNB1/CEP192/CEP63/CEP72/CHD3/CHMP2B/CHMP5/CHMP7/DYNC1H1/EFHC1/EML1/FSD1/GNAI1/GPSM2/KASH5/KIF11/KIF2A/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NTMT1/PARP3/PKD1/PLK3/PTPA/RAE1/RAN/RCC1/RHOA/RNF4/SPAST/SPC25/TACC1/TUBB/TUBG1/TUBG2/TUBGCP3/TUBGCP4",42
"GO:1902893","GO:1902893","regulation of miRNA transcription","21/1813","70/18870",1.44682884611254e-06,0.00128027209023031,0.00120783711169344,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NFATC3/NR1H2/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/YY1",21
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","36/1813","163/18870",1.562668636724e-06,0.00128027209023031,0.00120783711169344,"ARHGEF10/BCCIP/CCNB1/CDK1/CENPA/CEP192/CHMP2B/CHMP5/CHMP7/DYNC1H1/EFHC1/EML1/FSD1/GNAI1/GPSM2/KIF11/KIF2A/MYBL2/NDEL1/NEK6/PAFAH1B1/PARP3/PAX6/PKD1/PLK3/PTPA/RAE1/RAN/RCC1/RHOA/SPAST/SPC25/SPDL1/TACC1/TUBG1/TUBG2",36
"GO:0061614","GO:0061614","miRNA transcription","21/1813","71/18870",1.86992138805555e-06,0.00134049989506232,0.00126465735981652,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NFATC3/NR1H2/POU2F1/PPARG/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/YY1",21
"GO:0048285","GO:0048285","organelle fission","79/1813","488/18870",2.55237081151719e-06,0.00162642740045012,0.00153440771592963,"ANAPC11/ANLN/AP3B1/APC/ARHGEF10/ATM/BCCIP/BROX/BUB3/CCNB1/CDC14A/CDC25B/CDC42/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/CKS2/DMRT1/DNM1L/EML4/ERCC4/FZR1/GDAP1/GEN1/HASPIN/IGF2/ING2/KASH5/KIF11/KIF2A/KNL1/L3MBTL1/MAEL/MAPT/MEIOSIN/MIS12/MLH1/MSH4/MSH5/MTFR1/MYBL2/NCAPH/NDEL1/NSMCE2/OPA1/PGAM5/PINK1/PPARG/PPP2R2D/PRDM9/PSMA8/RAD51AP1/RALBP1/RAN/RCC1/RHOA/RMI1/SEH1L/SIRT7/SLC25A31/SMARCA5/SMC4/SPAST/SPC25/SPDL1/SPIRE2/SPO11/STAG3/TENT4A/TMEM135/TOP6BL/TUBG1/TUBG2/UBB/UBE2I",79
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","32/1813","142/18870",3.70884718028698e-06,0.00211919006477054,0.00199929095267665,"APC/ATM/BABAM2/BRSK1/BUB3/CASP2/CCNB1/CCND1/CDC6/CDK1/CENPF/DTL/FZR1/GEN1/HASPIN/INTS3/KNL1/NABP2/PABIR1/PLK3/PML/RAD9A/RBBP8/SETMAR/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TRIM39/WAC/ZFYVE19",32
